datetime;make;model;year;engine;mileage;price;fuel_type;new
6/29/2017;Saab;09-may;2005;2.2;202.0;2.7;D;false
09/04/2020;Saab;09-may;2005;2.2;202.0;2.7;D;true
10/13/2019;Bmw;5;2007;3.0;216.0;11.49;D;false
5/27/2019;Renault;GrandScenic;2007;1.9;220.0;3.55;D;false
12/04/2018;Nissan;Almera;2000;1.5;136.0;800;P;false
10/06/2019;Opel;Astra;1998;2.0;318.0;1.4;D;false
1/22/2021;Opel;Astra;1998;2.2;318.0;1.4;D;false
3/22/2022;Ford;Mondeo;2001;2.0;210.0;1.6;D;false
4/15/2019;Mazda;323;1998;1.5;210.0;525;P;true
03/12/2019;Audi;A4;2004;1.9;230.0;4;D;false
02/11/2018;Mercedes;ML;2007;3.0;232.0;10.99;D;false
09/04/2020;Volkswagen;Caddy;2006;2.0;229.0;4.73;D;false
2/27/2022;Honda;Accord;2007;2.4;87.0;7.5;P;true
9/16/2019;Audi;A4;2006;2.0;217.0;4.95;D;false
06/06/2020;Ford;Focus;2006;1.6;204.0;3.39;D;true
7/26/2021;Opel;Corsa;2001;1.7;165.0;1.95;D;false
09/06/2022;Volvo;S60;2002;2.4;253.0;3;P;false
10/06/2017;Ford;Escort;1996;1.6;238.0;400;P;false
11/25/2019;Volkswagen;Golf4;2002;1.9;214.0;2.65;D;true
5/19/2020;Volkswagen;Transporter;2002;2.5;266.0;3.15;D;true
9/30/2019;Audi;A4;2006;2.0;211.0;5.45;D;true
3/28/2020;Dodge;GrandCaravan;1996;3.3;357.0;1.1;P;false
01/09/2019;Peugeot;307;2006;1.6;261.0;3.35;D;true
4/18/2018;Audi;100;1991;2.3;380.0;500;P;false
1/21/2021;Volkswagen;Passat(B7);2012;2.0;185.0;14.35;D;true
10/25/2021;Mercedes;C;2004;2.7;226.0;5.25;D;true
08/04/2018;Volkswagen;Passat(B7);2011;2.0;199.0;9.99;D;true
10/26/2019;Mitsubishi;L200;2008;2.5;208.0;7.1;D;false
09/02/2020;Toyota;Avensis;2006;2.0;130.0;5.1;P;false
9/22/2019;Audi;A4;2000;1.9;339.0;1.75;D;true
07/02/2021;Opel;Zafira;2007;1.9;233.0;5;D;true
3/29/2020;Ford;Focus;2009;1.6;151.0;3.9;D;true
1/23/2020;Audi;A6;2006;2.7;235.0;6.3;D;true
